path,area,name_pattern,size_bytes,mutability,referenced_by
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/relevance-cases.json,.claude,relevance-cases.json,36734,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/fixtures/relevance-thresholds.json,.claude,relevance-thresholds.json,5079,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_catalog_refresh.py,.claude,test_catalog_refresh.py,19466,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_core.py,.claude,test_core.py,16680,unknown,1
.claude/skills/ui-ux-pro-max/scripts/tests/test_core_data_quality.py,.claude,test_core_data_quality.py,8954,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_data_contracts.py,.claude,test_data_contracts.py,19513,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_design_system_mode.py,.claude,test_design_system_mode.py,7690,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_native_desktop_stack_freshness.py,.claude,test_native_desktop_stack_freshness.py,8170,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_relevance_evaluator.py,.claude,test_relevance_evaluator.py,8430,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_style_taxonomy.py,.claude,test_style_taxonomy.py,7425,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_text_layout_resilience.py,.claude,test_text_layout_resilience.py,5874,unknown,0
.claude/skills/ui-ux-pro-max/scripts/tests/test_web_stack_freshness.py,.claude,test_web_stack_freshness.py,7699,unknown,0
.claude/skills/ui-ux-pro-max/scripts/validate_data.py,.claude,validate_data.py,52064,unknown,0
.claude/skills/using-git-worktrees/SKILL.md,.claude,SKILL.md,6813,unknown,70
.claude/skills/using-superpowers/SKILL.md,.claude,SKILL.md,3108,unknown,70
.claude/skills/using-superpowers/references/antigravity-tools.md,.claude,antigravity-tools.md,1495,unknown,1
.claude/skills/using-superpowers/references/codex-tools.md,.claude,codex-tools.md,4762,unknown,2
.claude/skills/using-superpowers/references/gemini-tools.md,.claude,gemini-tools.md,4598,unknown,1
.claude/skills/using-superpowers/references/hermes-tools.md,.claude,hermes-tools.md,1964,unknown,1
.claude/skills/using-superpowers/references/pi-tools.md,.claude,pi-tools.md,1242,unknown,1
.claude/skills/verification-before-completion/SKILL.md,.claude,SKILL.md,3646,unknown,70
.claude/skills/vue-best-practices/SKILL.md,.claude,SKILL.md,8803,unknown,70
.claude/skills/vue-best-practices/references/animation-class-based-technique.md,.claude,animation-class-based-technique.md,5026,unknown,1
.claude/skills/vue-best-practices/references/animation-state-driven-technique.md,.claude,animation-state-driven-technique.md,5829,unknown,1
.claude/skills/vue-best-practices/references/component-async.md,.claude,component-async.md,2532,unknown,1
.claude/skills/vue-best-practices/references/component-data-flow.md,.claude,component-data-flow.md,6956,unknown,1
.claude/skills/vue-best-practices/references/component-fallthrough-attrs.md,.claude,component-fallthrough-attrs.md,4047,unknown,1
.claude/skills/vue-best-practices/references/component-keep-alive.md,.claude,component-keep-alive.md,3487,unknown,1
.claude/skills/vue-best-practices/references/component-slots.md,.claude,component-slots.md,4469,unknown,1
.claude/skills/vue-best-practices/references/component-suspense.md,.claude,component-suspense.md,5367,unknown,1
.claude/skills/vue-best-practices/references/component-teleport.md,.claude,component-teleport.md,2921,unknown,1
.claude/skills/vue-best-practices/references/component-transition-group.md,.claude,component-transition-group.md,3004,unknown,1
.claude/skills/vue-best-practices/references/component-transition.md,.claude,component-transition.md,2722,unknown,1
.claude/skills/vue-best-practices/references/composables.md,.claude,composables.md,7011,unknown,1
.claude/skills/vue-best-practices/references/directives.md,.claude,directives.md,3803,unknown,1
.claude/skills/vue-best-practices/references/perf-avoid-component-abstraction-in-lists.md,.claude,perf-avoid-component-abstraction-in-lists.md,4683,unknown,1
.claude/skills/vue-best-practices/references/perf-v-once-v-memo-directives.md,.claude,perf-v-once-v-memo-directives.md,4769,unknown,1
.claude/skills/vue-best-practices/references/perf-virtualize-large-lists.md,.claude,perf-virtualize-large-lists.md,5002,unknown,1
.claude/skills/vue-best-practices/references/plugins.md,.claude,plugins.md,3882,unknown,1
.claude/skills/vue-best-practices/references/reactivity.md,.claude,reactivity.md,8452,unknown,3
.claude/skills/vue-best-practices/references/render-functions.md,.claude,render-functions.md,3866,unknown,1
.claude/skills/vue-best-practices/references/sfc.md,.claude,sfc.md,6216,unknown,1
.claude/skills/vue-best-practices/references/state-management.md,.claude,state-management.md,3380,unknown,2
.claude/skills/vue-best-practices/references/updated-hook-performance.md,.claude,updated-hook-performance.md,4618,unknown,1
.claude/skills/vue-debug-guides/SKILL.md,.claude,SKILL.md,20858,unknown,70
.claude/skills/vue-debug-guides/reference/animation-key-for-rerender.md,.claude,animation-key-for-rerender.md,4601,unknown,1
.claude/skills/vue-debug-guides/reference/animation-transitiongroup-performance.md,.claude,animation-transitiongroup-performance.md,5854,unknown,1
.claude/skills/vue-debug-guides/reference/async-component-error-handling.md,.claude,async-component-error-handling.md,3291,unknown,1
.claude/skills/vue-debug-guides/reference/async-component-keepalive-ref-issue.md,.claude,async-component-keepalive-ref-issue.md,2894,unknown,1
.claude/skills/vue-debug-guides/reference/async-component-suspense-control.md,.claude,async-component-suspense-control.md,2167,unknown,1
.claude/skills/vue-debug-guides/reference/async-component-vue-router.md,.claude,async-component-vue-router.md,2893,unknown,1
.claude/skills/vue-debug-guides/reference/attrs-event-listener-merging.md,.claude,attrs-event-listener-merging.md,4707,unknown,1
.claude/skills/vue-debug-guides/reference/checkbox-true-false-value-form-submission.md,.claude,checkbox-true-false-value-form-submission.md,3505,unknown,1
.claude/skills/vue-debug-guides/reference/cleanup-side-effects.md,.claude,cleanup-side-effects.md,4343,unknown,1
.claude/skills/vue-debug-guides/reference/click-events-on-components.md,.claude,click-events-on-components.md,4730,unknown,1
.claude/skills/vue-debug-guides/reference/component-naming-conflicts.md,.claude,component-naming-conflicts.md,4461,unknown,1
.claude/skills/vue-debug-guides/reference/component-ref-requires-defineexpose.md,.claude,component-ref-requires-defineexpose.md,4204,unknown,1
.claude/skills/vue-debug-guides/reference/composable-avoid-hidden-side-effects.md,.claude,composable-avoid-hidden-side-effects.md,5867,unknown,1
.claude/skills/vue-debug-guides/reference/composable-call-location-restrictions.md,.claude,composable-call-location-restrictions.md,4903,unknown,1
.claude/skills/vue-debug-guides/reference/composable-naming-return-pattern.md,.claude,composable-naming-return-pattern.md,3994,unknown,1
.claude/skills/vue-debug-guides/reference/composable-tovalue-inside-watcheffect.md,.claude,composable-tovalue-inside-watcheffect.md,5216,unknown,1
.claude/skills/vue-debug-guides/reference/composition-api-not-functional-programming.md,.claude,composition-api-not-functional-programming.md,3896,unknown,1
